id,text
0,now you're no longer stressed out and unhappy. you're sick in the head.
0,"RT @Hvbibvh: Pick a Quran verse for your what you are feeling:

Upset - 3:159
Weak - 4:28
Lonely - 20:46
Sinned - 39:53, 3:31
Worried - 2:4…"
0,"RT @CBSEveningNews: CBS News has confirmed the special counsel's team was split on whether the president obstructed justice, with some inve…"
0,"Well I’ll be single forever and a day if I’m expected to “shut up and look cute”☺️🖕🏿

He’s telling her to lose weight as if petite females aren’t single as well like wth is going on here?

Furthermore, folks act like being single is a curse when most married ppl are unhappy💁🏿‍♀️ https://t.co/AxSAP8dWuv"
0,@shaunking I don’t agree with you. The boy is smiling and looks happy. He does not look unhappy or angry and he is not struggling to get away
0,"RT @CBSEveningNews: CBS News has confirmed the special counsel's team was split on whether the president obstructed justice, with some inve…"
0,RT @kayhanmomand: Ex-captain @MAsgharAfghan who is unhappy with his sacking decision has reportedly asked to cancel his sout Africa visa an…
0,"RT @Sootradhar: Bengali Rural Voter "" I am both happy &amp; unhappy with PM Narendra Modi's rally at Siliguri""

Unhappy = Reached Siliguri well…"
0,RT @iamsrk: Well played boys @KKRiders @lynny50 @NitishRana_27 @robbieuthappa . Each one in the team did so well but you all will agree all…
0,"RT @BJP4India: When we carried out air strikes across the border, the entire country was happy and celebrated. 

However, only Pakistan and…"
0,@BarryHeaven @SkyNews @brendan_92 Gammons are never happy unless they're unhappy.
0,"@Shadbase I mean, personally, I don’t use your website so I’m biased, but I wouldn’t be particularly unhappy"
0,"@itsalwayswednes Ohhhhh. I'm so glad I'm not on Facebook anymore lol. And those groups I joined one and left it n a week bc the ppl were really immature, unhappy, cliques."
0,"At this point in my life I want to forgive, forget, and grow in all aspects life is too short to unhappy."
0,"US denies visa to ICC chief prosecutor, unhappy with her probing American war crimes in Afghanistan https://t.co/l4L6JZ0zcu"
0,RT @_kateelaa: Life too short to be on some unhappy shit.
0,Munster will be unhappy with that score line at half time
0,RT @KimStrassel: Be wary of anonymous reports alleging Mueller's team is unhappy https://t.co/60i9FyReLR
0,RT @caliscrip: STOP holding grudges. STOP judging people. STOP bringing other people down. just because you are unhappy with yourself does…
0,Fortnite adding respawning instead of fixing its current issues. I think all other companies should be working hard because now is time to captivate a very unhappy fan base . A new ground breaking game could sweep fortnite off its feet and this is the perfect climate for that
